ID,Region,Sub-region,Country,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
2.2.26,Americas,AMR B,"Venezuela, Bolivarian Republic of",96,88,92,89,85,87,86,79,87,93,87,82,76,80,83,83,98,84,84,92,68,64,47,94,62,61,63,61,50,51,54,48,56,41,42,45,43,50
2.3.1,Americas,AMR D,Bolivia,83,94,95,89,87,92,96,88,93,92,86,88,89,90,96,91,88,84,79,65,51,61,58,64,57,57,54,53,59,58,57,55,21,20,13,15,17,13
2.3.2,Americas,AMR D,Ecuador,81,86,84,85,97,96,94,95,97,98,98,97,93,99,99,99,99,99,99,89,77,79,81,83,85,69,54,60,57,53,47,50,51,54,34,45,31,24
2.3.3,Americas,AMR D,Guatemala,86,86,77,67,85,93,89,93,92,96,86,95,93,95,94,92,91,86,83,79,74,69,83,66,71,59,49,68,60,55,24,55,23,24,9,12,8,23
2.3.4,Americas,AMR D,Haiti,53,53,53,53,65,65,65,64,63,62,60,59,58,57,57,56,55,55,54,53,52,50,49,48,44,39,35,31,31,59,23,26,21,8,6,3,0,0
2.3.5,Americas,AMR D,Nicaragua,99,99,99,99,99,99,99,99,99,99,99,99,96,84,93,98,99,86,87,91,86,85,85,84,84,83,54,82,63,63,47,51,59,56,41,40,20,15
2.3.6,Americas,AMR D,Peru,83,88,92,89,85,94,96,94,91,92,92,93,77,85,95,95,97,97,93,93,91,87,98,75,75,83,74,64,52,52,56,41,53,35,28,32,26,23
3.1.1,Eastern Mediterranean,EMR B,Bahrain,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,94,99,94,95,95,93,90,87,88,87,85,78,78,78,78,65,59,54,50,45
3.1.2,Eastern Mediterranean,EMR B,Cyprus,90,90,90,86,86,86,87,87,87,87,87,87,86,86,86,86,86,86,87,89,90,90,83,82,81,80,78,77,76,74,91,60,43,25,19,21,28,29
3.1.3,Eastern Mediterranean,EMR B,"Iran, Islamic Republic of",99,99,99,99,98,98,99,99,99,98,97,99,94,96,99,99,96,99,99,99,95,99,95,97,96,96,84,85,79,83,55,55,62,38,38,55,48,39
3.1.4,Eastern Mediterranean,EMR B,Jordan,93,96,94,98,97,98,98,98,95,95,95,99,95,99,96,95,99,94,83,93,95,94,92,91,88,91,85,87,84,87,87,81,73,65,56,48,40,29
